ID#,Marca,Modelo,Versión,Potencia (cv),Puertas,Combustible,CO2,Precio (€),Tracción,Transmisión,Emisiones CO2 (gr/km),Autonomía (km),Consumo (l/100km),Garantía (meses),Motor (cc),Capacidad depósito (lts),N° marchas,Velocidad Máxima (km/h),Aceleración (0-100 km) (s),Revoluciones Potencia Máxima (rpm),Par motor (Nm),Carrocería,Peso (kg),Largo (mm),Ancho (mm),Alto (mm)
57,Audi,A1,Sportback 35 TFSI S tronic,150,5.0,Gasolina,verde,25942.0,Tracción delantera,Automática secuencial ,117.0,800.0,5.0,24.0,1498.0,40.0,7,222.0,7.7,5000.0,250.0,Berlina ,1180.0,4030.0,1740.0,1410.0
58,Audi,A1,Sportback 25 TFSI Adrenalin,95,5.0,Gasolina,verde,26211.0,Tracción delantera,Manual ,107.0,869.6,4.6,24.0,999.0,40.0,5,191.0,10.8,5000.0,175.0,Berlina ,1165.0,4030.0,1740.0,1410.0
59,Audi,A1,Sportback 30 TFSI Black line,116,5.0,Gasolina,verde,26366.0,Tracción delantera,Manual ,111.0,816.3,4.9,24.0,999.0,40.0,6,203.0,9.5,5000.0,200.0,Berlina ,1180.0,4030.0,1740.0,1410.0
60,Audi,A1,Sportback 30 TFSI S line S tronic,116,5.0,Gasolina,verde,26979.0,Tracción delantera,Automática secuencial ,112.0,833.3,4.8,24.0,999.0,40.0,7,203.0,9.4,5000.0,200.0,Berlina ,1200.0,4030.0,1740.0,1410.0
61,Audi,A1,Sportback 35 TFSI Advanced S tronic,150,5.0,Gasolina,verde,27346.0,Tracción delantera,Automática secuencial ,117.0,800.0,5.0,24.0,1498.0,40.0,7,222.0,7.7,5000.0,250.0,Berlina ,1180.0,4030.0,1740.0,1410.0
62,Audi,A1,Sportback 30 TFSI Adrenalin,116,5.0,Gasolina,verde,27421.0,Tracción delantera,Manual ,111.0,833.3,4.8,24.0,999.0,40.0,6,203.0,9.5,5000.0,200.0,Berlina ,1180.0,4030.0,1740.0,1410.0
63,Audi,A1,Sportback 30 TFSI Black line S tronic,116,5.0,Gasolina,verde,28246.0,Tracción delantera,Automática secuencial ,112.0,833.3,4.8,24.0,999.0,40.0,7,203.0,9.4,5000.0,200.0,Berlina ,1200.0,4030.0,1740.0,1410.0
64,Audi,A1,Sportback 35 TFSI S line S tronic,150,5.0,Gasolina,verde,28649.0,Tracción delantera,Automática secuencial ,117.0,800.0,5.0,24.0,1498.0,40.0,7,222.0,7.7,5000.0,250.0,Berlina ,1180.0,4030.0,1740.0,1410.0
65,Audi,A1,Sportback 30 TFSI Adrenalin S tronic,116,5.0,Gasolina,verde,29438.0,Tracción delantera,Automática secuencial ,112.0,833.3,4.8,24.0,999.0,40.0,7,203.0,9.4,5000.0,200.0,Berlina ,1200.0,4030.0,1740.0,1410.0
66,Audi,A1,Sportback 35 TFSI Black line S tronic,150,5.0,Gasolina,verde,29916.0,Tracción delantera,Automática secuencial ,117.0,800.0,5.0,24.0,1498.0,40.0,7,222.0,7.7,5000.0,250.0,Berlina ,1180.0,4030.0,1740.0,1410.0
67,Audi,A1,Sportback 40 TFSI S line S tronic,200,5.0,Gasolina,ambar,34125.0,Tracción delantera,Automática secuencial ,136.0,666.7,6.0,24.0,1984.0,40.0,7,235.0,6.5,4400.0,320.0,Berlina ,1180.0,4030.0,1740.0,1410.0
68,Audi,A1,Sportback 40 TFSI Black line S tronic,200,5.0,Gasolina,ambar,35107.0,Tracción delantera,Automática secuencial ,136.0,666.7,6.0,24.0,1984.0,40.0,7,235.0,6.5,4400.0,320.0,Berlina ,1180.0,4030.0,1740.0,1410.0
69,Audi,A1 Citycarver,25 TFSI,95,5.0,Gasolina,verde,24639.0,Tracción delantera,Manual ,119.0,769.2,5.2,24.0,999.0,40.0,5,187.0,11.2,5000.0,175.0,Todo Terreno ,1205.0,4046.0,1756.0,1483.0
70,Audi,A1 Citycarver,30 TFSI,116,5.0,Gasolina,verde,25849.0,Tracción delantera,Manual ,118.0,769.2,5.2,24.0,999.0,40.0,6,198.0,9.9,5000.0,200.0,Todo Terreno ,1215.0,4046.0,1756.0,1483.0
71,Audi,A1 Citycarver,25 TFSI Black line,95,5.0,Gasolina,verde,26576.0,Tracción delantera,Manual ,119.0,769.2,5.2,24.0,999.0,40.0,5,187.0,11.2,5000.0,175.0,Todo Terreno ,1205.0,4046.0,1756.0,1483.0
72,Audi,A1 Citycarver,35 TFSI,150,5.0,Gasolina,verde,27519.0,Tracción delantera,Manual ,120.0,754.7,5.3,24.0,1498.0,40.0,6,220.0,8.2,5000.0,250.0,Todo Terreno ,1275.0,4046.0,1756.0,1483.0
73,Audi,A1 Citycarver,30 TFSI S tronic,116,5.0,Gasolina,verde,27729.0,Tracción delantera,Automática secuencial ,117.0,784.3,5.1,24.0,999.0,40.0,7,198.0,9.9,5000.0,200.0,Todo Terreno ,1245.0,4046.0,1756.0,1483.0
74,Audi,A1 Citycarver,30 TFSI Black line,116,5.0,Gasolina,verde,27786.0,Tracción delantera,Manual ,119.0,769.2,5.2,24.0,999.0,40.0,6,198.0,9.9,5000.0,200.0,Todo Terreno ,1215.0,4046.0,1756.0,1483.0
75,Audi,A1 Citycarver,30 TFSI (4.75),116,5.0,Gasolina,ambar,28739.0,Tracción delantera,Manual ,122.0,740.7,5.4,24.0,999.0,40.0,6,198.0,9.9,5000.0,200.0,Todo Terreno ,1215.0,4046.0,1756.0,1483.0
76,Audi,A1 Citycarver,30 TFSI Black line (4.75),116,5.0,Gasolina,ambar,28877.0,Tracción delantera,Manual ,122.0,740.7,5.4,24.0,999.0,40.0,6,198.0,9.9,5000.0,200.0,Todo Terreno ,1215.0,4046.0,1756.0,1483.0
