ID#,BRAND,MODEL,VERSION1,POTENCIA1 (cv),PUERTAS,COMBUSTIBLE,CO2,PRECIO,Tracción,Transmisión,Emisiones CO2 (gr/km),Autonomía (km),Consumo (l/100km),Garantía (meses),Motor (cc),Capacidad depósito (lts),N° marchas,Velocidad Máxima (km/h),Aceleración (0-100 km) (s),Revoluciones Potencia Máxima (rpm),Par motor (Nm),Carrocería,Peso (kg),Largo (mm),Ancho (mm),Alto (mm)
62,Audi,Audi - A1,A1 Sportback 30 TFSI Adrenalin,116,5,Gasolina,verde,"27,421 €",Tracción delantera ,Manual ,111,833.3,4.8,24,999,40,6,203,9.5,5000,200,Berlina ,1180,4030,1740,1410
63,Audi,Audi - A1,A1 Sportback 30 TFSI Black line S tronic,116,5,Gasolina,verde,"28,246 €",Tracción delantera ,Automática secuencial ,112,833.3,4.8,24,999,40,7,203,9.4,5000,200,Berlina ,1200,4030,1740,1410
64,Audi,Audi - A1,A1 Sportback 35 TFSI S line S tronic,150,5,Gasolina,verde,"28,649 €",Tracción delantera ,Automática secuencial ,117,800,5,24,1498,40,7,222,7.7,5000,250,Berlina ,1180,4030,1740,1410
65,Audi,Audi - A1,A1 Sportback 30 TFSI Adrenalin S tronic,116,5,Gasolina,verde,"29,438 €",Tracción delantera ,Automática secuencial ,112,833.3,4.8,24,999,40,7,203,9.4,5000,200,Berlina ,1200,4030,1740,1410
66,Audi,Audi - A1,A1 Sportback 35 TFSI Black line S tronic,150,5,Gasolina,verde,"29,916 €",Tracción delantera ,Automática secuencial ,117,800,5,24,1498,40,7,222,7.7,5000,250,Berlina ,1180,4030,1740,1410
67,Audi,Audi - A1,A1 Sportback 40 TFSI S line S tronic,200,5,Gasolina,ambar,"34,125 €",Tracción delantera ,Automática secuencial ,136,666.7,6,24,1984,40,7,235,6.5,4400,320,Berlina ,1180,4030,1740,1410
68,Audi,Audi - A1,A1 Sportback 40 TFSI Black line S tronic,200,5,Gasolina,ambar,"35,107 €",Tracción delantera ,Automática secuencial ,136,666.7,6,24,1984,40,7,235,6.5,4400,320,Berlina ,1180,4030,1740,1410
69,Audi,Audi - A1 Citycarver,A1 Citycarver 25 TFSI,95,5,Gasolina,verde,"24,639 €",Tracción delantera ,Manual ,119,769.2,5.2,24,999,40,5,187,11.2,5000,175,Todo Terreno ,1205,4046,1756,1483
70,Audi,Audi - A1 Citycarver,A1 Citycarver 30 TFSI,116,5,Gasolina,verde,"25,849 €",Tracción delantera ,Manual ,118,769.2,5.2,24,999,40,6,198,9.9,5000,200,Todo Terreno ,1215,4046,1756,1483
71,Audi,Audi - A1 Citycarver,A1 Citycarver 25 TFSI Black line,95,5,Gasolina,verde,"26,576 €",Tracción delantera ,Manual ,119,769.2,5.2,24,999,40,5,187,11.2,5000,175,Todo Terreno ,1205,4046,1756,1483
